dataset,algorithm,base_algorithm,ls_mode,runs,all_feasible,best_cost,mean_cost,median_cost,std_cost,best_gap_percent,mean_gap_percent,median_gap_percent,std_gap_percent,worst_gap_percent,mean_runtime_sec,std_runtime_sec,median_runtime_sec,mean_time_to_best_sec,std_time_to_best_sec,mean_iter_to_best,median_iter_to_best,mean_eval_to_best,max_capacity_violation_count,max_vehicle_violation_count,max_missing_count,max_duplicate_count
A-n54-k7,WOA,WOA,none,30,True,1806.0,2009.7333333333333,2001.5,133.37991714966157,54.75578406169666,72.21365324193087,71.50814053127678,11.429298813167224,93.48757497857756,0.43353038999997956,0.07673197777551838,0.41806415000007746,0.2643341366666618,0.1088826078268697,98.43333333333334,108.0,3918.5333333333333,0.0,0.0,0.0,0.0
A-n54-k7,SSA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,SSA,SSA,none,30,True,2158.0,2295.133333333333,2292.5,73.24156222242675,84.91859468723221,96.66952299343045,96.44387317909167,6.276055031913175,109.08311910882604,0.6849567566666565,0.04072646134135594,0.6733267500001148,0.5533184200000126,0.1441860738600035,141.03333333333333,150.0,5613.766666666666,0.0,0.0,0.0,0.0
A-n54-k7,SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,M-WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,M-WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,M-WOA,WOA,2opt_qualitybalanced_relocate,30,True,1239.0,1311.4,1309.5,41.34180484190557,6.169665809768637,12.373607540702658,12.210796915167096,3.5425711089893377,22.10796915167095,6.441565909999978,0.725757888003585,6.346388449999949,3.803533149999976,1.8609523960827434,119.73333333333333,122.0,4769.866666666667,0.0,0.0,0.0,0.0
A-n54-k7,M-WOA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,M-SSA,SSA,2opt_qualitybalanced_relocate,30,True,1252.0,1370.1,1358.0,77.8271072357803,7.283633247643531,17.403598971722367,16.36675235646958,6.6689894803582135,29.82005141388175,5.742305953333297,0.5232268503320755,5.583324750000088,5.182479026666631,0.6828443336123803,184.43333333333334,192.0,7343.6,0.0,0.0,0.0,0.0
