config_id,description,dataset,algorithm,base_algorithm,ls_mode,run,seed,pop_size,max_iter,known_best,best_score_with_penalty,cost_without_vehicle_penalty,gap_percent_without_vehicle_penalty,gap_percent_with_penalty,route_count,expected_vehicles,max_route_load,capacity,valid_core_solution,vehicle_count_valid,feasible_solution,vehicle_violation_count,missing_count,extra_count,duplicate_count,capacity_violation_count,runtime_sec,time_to_best_sec,iter_to_best,eval_to_best
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,28,2054,40,200,784.0,1508.0,1508.0,92.34693877551021,92.34693877551021,5,5,97,100,True,True,True,0,0,0,0,0,0.1878845,0.08969839999999962,93,3695
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,29,2055,40,200,784.0,1333.0,1333.0,70.02551020408163,70.02551020408163,5,5,87,100,True,True,True,0,0,0,0,0,0.18666470000000057,0.057404299999999964,59,2329
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,30,2056,40,200,784.0,1271.0,1271.0,62.11734693877551,62.11734693877551,5,5,100,100,True,True,True,0,0,0,0,0,0.1856296999999998,0.07272939999999917,76,3034
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,1,3027,40,200,784.0,1502.0,1502.0,91.58163265306122,91.58163265306122,5,5,96,100,True,True,True,0,0,0,0,0,0.1854288000000004,0.10635390000000022,113,4481
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,2,3028,40,200,784.0,1545.0,1545.0,97.06632653061224,97.06632653061224,5,5,100,100,True,True,True,0,0,0,0,0,0.18765689999999946,0.11260449999999977,113,4484
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,3,3029,40,200,784.0,1616.0,1616.0,106.12244897959184,106.12244897959184,5,5,100,100,True,True,True,0,0,0,0,0,0.19237470000000023,0.13046730000000029,131,5203
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,4,3030,40,200,784.0,1601.0,1601.0,104.20918367346938,104.20918367346938,5,5,92,100,True,True,True,0,0,0,0,0,0.19085280000000004,0.10979790000000023,107,4242
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,5,3031,40,200,784.0,1491.0,1491.0,90.17857142857143,90.17857142857143,5,5,100,100,True,True,True,0,0,0,0,0,0.18156689999999998,0.0760209999999999,78,3100
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,6,3032,40,200,784.0,1573.0,1573.0,100.63775510204081,100.63775510204081,5,5,99,100,True,True,True,0,0,0,0,0,0.19176980000000032,0.11613140000000044,115,4561
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,7,3033,40,200,784.0,1531.0,1531.0,95.28061224489795,95.28061224489795,5,5,98,100,True,True,True,0,0,0,0,0,0.17707309999999943,0.11925339999999984,130,5162
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,8,3034,40,200,784.0,1510.0,1510.0,92.60204081632654,92.60204081632654,5,5,98,100,True,True,True,0,0,0,0,0,0.1736999000000008,0.10553990000000013,118,4681
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,9,3035,40,200,784.0,1532.0,1532.0,95.40816326530613,95.40816326530613,5,5,99,100,True,True,True,0,0,0,0,0,0.17589330000000025,0.08926540000000038,96,3812
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,10,3036,40,200,784.0,1691.0,1691.0,115.68877551020408,115.68877551020408,5,5,95,100,True,True,True,0,0,0,0,0,0.1793332000000003,0.11631009999999975,124,4923
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,11,3037,40,200,784.0,1646.0,1646.0,109.94897959183673,109.94897959183673,5,5,98,100,True,True,True,0,0,0,0,0,0.18286039999999915,0.11060860000000083,119,4721
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,SSA,SSA,none,12,3038,40,200,784.0,1547.0,1547.0,97.32142857142857,97.32142857142857,5,5,98,100,True,True,True,0,0,0,0,0,0.18172799999999967,0.12361759999999933,130,5161
