dataset,algorithm,run,seed,stage,seconds,percent_of_runtime,runtime_sec
A-n32-k5,SSA,1,3027,Initialization,0.0021356999999999626,1.1185739739989102,0.19093059999999995
A-n32-k5,SSA,1,3027,Decode,0.03145069999999328,16.472320309051188,0.19093059999999995
A-n32-k5,SSA,1,3027,Split,0.026382500000001974,13.817847951036649,0.19093059999999995
A-n32-k5,SSA,1,3027,Vehicle repair,0.006057200000006091,3.1724616169467295,0.19093059999999995
A-n32-k5,SSA,1,3027,2-opt local search,0.0,0.0,0.19093059999999995
A-n32-k5,SSA,1,3027,Relocate local search,0.0,0.0,0.19093059999999995
A-n32-k5,SSA,1,3027,Final cost evaluation,0.02452279999999285,12.843829119058368,0.19093059999999995
A-n32-k5,SSA,1,3027,Lamarckian write-back,0.05325850000000654,27.894166781022292,0.19093059999999995
A-n32-k5,SSA,1,3027,Position update,0.028460699999999894,14.906306270445858,0.19093059999999995
A-n32-k5,SSA,1,3027,Other,0.01866249999999936,9.77449397844,0.19093059999999995
A-n32-k5,SSA,2,3028,Initialization,0.0021307999999999883,1.0644611452698665,0.20017639999999992
A-n32-k5,SSA,2,3028,Decode,0.03324260000000079,16.606652932114276,0.20017639999999992
A-n32-k5,SSA,2,3028,Split,0.028452600000004047,14.213763460629753,0.20017639999999992
A-n32-k5,SSA,2,3028,Vehicle repair,0.006487600000006477,3.2409414896094044,0.20017639999999992
A-n32-k5,SSA,2,3028,2-opt local search,0.0,0.0,0.20017639999999992
A-n32-k5,SSA,2,3028,Relocate local search,0.0,0.0,0.20017639999999992
A-n32-k5,SSA,2,3028,Final cost evaluation,0.02382019999999252,11.899604548784236,0.20017639999999992
A-n32-k5,SSA,2,3028,Lamarckian write-back,0.056254200000007026,28.10231375926785,0.20017639999999992
A-n32-k5,SSA,2,3028,Position update,0.029964399999998337,14.968997344341465,0.20017639999999992
A-n32-k5,SSA,2,3028,Other,0.019823999999990738,9.903265319983147,0.20017639999999992
A-n32-k5,SSA,3,3029,Initialization,0.002253099999999897,1.1851827693750885,0.19010569999999993
A-n32-k5,SSA,3,3029,Decode,0.03112320000000235,16.37152384173771,0.19010569999999993
A-n32-k5,SSA,3,3029,Split,0.02611059999999532,13.734780177551398,0.19010569999999993
A-n32-k5,SSA,3,3029,Vehicle repair,0.006076100000004692,3.1961692889822313,0.19010569999999993
A-n32-k5,SSA,3,3029,2-opt local search,0.0,0.0,0.19010569999999993
A-n32-k5,SSA,3,3029,Relocate local search,0.0,0.0,0.19010569999999993
A-n32-k5,SSA,3,3029,Final cost evaluation,0.024324099999999405,12.79503981206214,0.19010569999999993
A-n32-k5,SSA,3,3029,Lamarckian write-back,0.05328770000000427,28.03056404937058,0.19010569999999993
A-n32-k5,SSA,3,3029,Position update,0.02869940000000204,15.096548919891434,0.19010569999999993
A-n32-k5,SSA,3,3029,Other,0.018231499999991962,9.590191141029422,0.19010569999999993
A-n32-k5,M-WOA,1,4027,Initialization,0.0019500000000001183,0.04072376616229938,4.7883587
A-n32-k5,M-WOA,1,4027,Decode,0.04669210000001356,0.9751170061677619,4.7883587
A-n32-k5,M-WOA,1,4027,Split,0.03244630000001281,0.6776079661703875,4.7883587
A-n32-k5,M-WOA,1,4027,Vehicle repair,0.023901099999962483,0.49915015765135734,4.7883587
A-n32-k5,M-WOA,1,4027,2-opt local search,1.1026517999999985,23.027761057249084,4.7883587
A-n32-k5,M-WOA,1,4027,Relocate local search,3.38004630000001,70.58882827637808,4.7883587
A-n32-k5,M-WOA,1,4027,Final cost evaluation,0.032180300000027584,0.6720528267865059,4.7883587
