dataset,algorithm,run,seed,iteration,best_score_with_penalty
A-n32-k5,WOA,3,2029,50,1202.0
A-n32-k5,WOA,3,2029,51,1202.0
A-n32-k5,WOA,3,2029,52,1202.0
A-n32-k5,WOA,3,2029,53,1202.0
A-n32-k5,WOA,3,2029,54,1202.0
A-n32-k5,WOA,3,2029,55,1202.0
A-n32-k5,WOA,3,2029,56,1202.0
A-n32-k5,WOA,3,2029,57,1202.0
A-n32-k5,WOA,3,2029,58,1202.0
A-n32-k5,WOA,3,2029,59,1202.0
A-n32-k5,WOA,3,2029,60,1202.0
A-n32-k5,WOA,3,2029,61,1202.0
A-n32-k5,WOA,3,2029,62,1202.0
A-n32-k5,WOA,3,2029,63,1202.0
A-n32-k5,WOA,3,2029,64,1202.0
A-n32-k5,WOA,3,2029,65,1202.0
A-n32-k5,WOA,3,2029,66,1202.0
A-n32-k5,WOA,3,2029,67,1202.0
A-n32-k5,WOA,3,2029,68,1202.0
A-n32-k5,WOA,3,2029,69,1202.0
A-n32-k5,WOA,3,2029,70,1202.0
A-n32-k5,WOA,3,2029,71,1202.0
A-n32-k5,WOA,3,2029,72,1202.0
A-n32-k5,WOA,3,2029,73,1202.0
A-n32-k5,WOA,3,2029,74,1202.0
A-n32-k5,WOA,3,2029,75,1202.0
A-n32-k5,WOA,3,2029,76,1202.0
A-n32-k5,WOA,3,2029,77,1202.0
A-n32-k5,WOA,3,2029,78,1202.0
A-n32-k5,WOA,3,2029,79,1202.0
A-n32-k5,WOA,3,2029,80,1202.0
A-n32-k5,WOA,3,2029,81,1202.0
A-n32-k5,WOA,3,2029,82,1202.0
A-n32-k5,WOA,3,2029,83,1202.0
A-n32-k5,WOA,3,2029,84,1202.0
A-n32-k5,WOA,3,2029,85,1202.0
A-n32-k5,WOA,3,2029,86,1202.0
A-n32-k5,WOA,3,2029,87,1202.0
A-n32-k5,WOA,3,2029,88,1202.0
A-n32-k5,WOA,3,2029,89,1202.0
A-n32-k5,WOA,3,2029,90,1202.0
A-n32-k5,WOA,3,2029,91,1202.0
A-n32-k5,WOA,3,2029,92,1202.0
A-n32-k5,WOA,3,2029,93,1202.0
A-n32-k5,WOA,3,2029,94,1202.0
A-n32-k5,WOA,3,2029,95,1202.0
A-n32-k5,WOA,3,2029,96,1202.0
A-n32-k5,WOA,3,2029,97,1202.0
A-n32-k5,WOA,3,2029,98,1202.0
A-n32-k5,WOA,3,2029,99,1202.0
A-n32-k5,WOA,3,2029,100,1202.0
A-n32-k5,WOA,3,2029,101,1202.0
A-n32-k5,WOA,3,2029,102,1202.0
A-n32-k5,WOA,3,2029,103,1202.0
A-n32-k5,WOA,3,2029,104,1202.0
A-n32-k5,WOA,3,2029,105,1202.0
A-n32-k5,WOA,3,2029,106,1202.0
A-n32-k5,WOA,3,2029,107,1202.0
A-n32-k5,WOA,3,2029,108,1202.0
A-n32-k5,WOA,3,2029,109,1202.0
A-n32-k5,WOA,3,2029,110,1202.0
A-n32-k5,WOA,3,2029,111,1202.0
A-n32-k5,WOA,3,2029,112,1202.0
A-n32-k5,WOA,3,2029,113,1202.0
A-n32-k5,WOA,3,2029,114,1202.0
A-n32-k5,WOA,3,2029,115,1202.0
A-n32-k5,WOA,3,2029,116,1202.0
A-n32-k5,WOA,3,2029,117,1202.0
A-n32-k5,WOA,3,2029,118,1202.0
A-n32-k5,WOA,3,2029,119,1202.0
A-n32-k5,WOA,3,2029,120,1202.0
A-n32-k5,WOA,3,2029,121,1202.0
A-n32-k5,WOA,3,2029,122,1202.0
A-n32-k5,WOA,3,2029,123,1202.0
A-n32-k5,WOA,3,2029,124,1202.0
A-n32-k5,WOA,3,2029,125,1202.0
A-n32-k5,WOA,3,2029,126,1202.0
A-n32-k5,WOA,3,2029,127,1202.0
A-n32-k5,WOA,3,2029,128,1202.0
A-n32-k5,WOA,3,2029,129,1202.0
A-n32-k5,WOA,3,2029,130,1202.0
A-n32-k5,WOA,3,2029,131,1202.0
A-n32-k5,WOA,3,2029,132,1202.0
A-n32-k5,WOA,3,2029,133,1202.0
A-n32-k5,WOA,3,2029,134,1202.0
A-n32-k5,WOA,3,2029,135,1202.0
A-n32-k5,WOA,3,2029,136,1202.0
A-n32-k5,WOA,3,2029,137,1202.0
A-n32-k5,WOA,3,2029,138,1202.0
A-n32-k5,WOA,3,2029,139,1202.0
A-n32-k5,WOA,3,2029,140,1202.0
A-n32-k5,WOA,3,2029,141,1202.0
A-n32-k5,WOA,3,2029,142,1202.0
A-n32-k5,WOA,3,2029,143,1202.0
A-n32-k5,WOA,3,2029,144,1202.0
