dataset,algorithm,base_algorithm,ls_mode,runs,all_core_valid,all_feasible,feasible_runs,best_cost,best_feasible_cost,mean_cost,std_cost,mean_gap_percent,best_gap_percent,mean_runtime_sec,mean_profile_eval_total_sec,mean_profile_local_search_total_sec,mean_profile_two_opt_sec,mean_profile_vehicle_repair_sec,mean_profile_cost_eval_sec,mean_profile_position_update_sec,mean_profile_route_distance_calls,mean_route_count,max_capacity_violation_count,max_vehicle_violation_count,max_missing_count,max_duplicate_count
A-n45-k6,WOA,WOA,none,3,True,True,3,1392.0,1392.0,1456.0,75.31932023060219,54.237288135593225,47.45762711864407,1.5999021999999978,1.4486253666666897,1.014343633333392,0.0,0.9987225666668138,0.08308630000036506,0.12904750000005075,48807.666666666664,6.0,0,0,0,0
A-n45-k6,SSA,SSA,none,3,True,True,3,1650.0,1650.0,1753.6666666666667,90.51150939705586,85.76977401129943,74.78813559322033,2.858012000000002,2.747066166667134,2.2312106999998442,0.0,2.21346500000044,0.1535272999997801,0.08697916666662309,49270.0,6.0,0,0,0,0
A-n54-k7,M-SSA,SSA,2opt_qualitybalanced_relocate,3,True,True,3,1284.0,1284.0,1351.0,111.74524598388962,15.766923736075407,10.025706940874036,12.209308933333327,12.090263299999654,11.477959499999534,5.295531466666461,0.9492859000000541,0.17703886666714652,0.09127720000008328,6514938.333333333,7.0,0,0,0,0
A-n54-k7,M-WOA,WOA,2opt_qualitybalanced_relocate,3,True,True,3,1295.0,1295.0,1337.0,44.710177812216315,14.56726649528706,10.968294772922022,11.639237433333344,11.494627900000049,10.969804033333077,3.7985193333341463,0.5534809666655368,0.11413973333258316,0.11855950000005085,5376580.666666667,7.0,0,0,0,0
A-n54-k7,WOA,WOA,none,3,True,True,3,1865.0,1865.0,2021.3333333333333,208.4522327377026,73.20765495572694,59.811482433590406,0.8885500000000093,0.7378224333333682,0.2887801999994413,0.0,0.2730376666668519,0.07089443333295738,0.12871513333330617,56007.0,7.0,0,0,0,0
A-n54-k7,SSA,SSA,none,3,True,True,3,2257.0,2257.0,2292.3333333333335,36.555893277737546,96.42959154527277,93.40188517566409,1.3306559000000011,1.2178038333333632,0.7108523666679218,0.0,0.6938424999996471,0.12653120000050913,0.09017096666656244,56007.0,7.0,0,0,0,0
A-n60-k9,M-WOA,WOA,2opt_qualitybalanced_relocate,3,True,True,3,1472.0,1472.0,1534.3333333333333,54.1694871060575,13.318562284588872,8.714918759231905,15.216825933333345,15.054126766665982,14.433242766665671,3.518650700001416,0.2500649000002113,0.1378007000000423,0.13257280000003865,4478138.0,9.0,0,0,0,0
A-n60-k9,M-SSA,SSA,2opt_qualitybalanced_relocate,3,True,True,3,1475.0,1475.0,1531.3333333333333,68.09062588442944,13.09699655342196,8.936484490398819,13.299082799999988,13.178186433334474,12.522832133333244,4.071253033332994,0.3689805666656791,0.19327096666830812,0.0911666999998791,5144313.333333333,9.0,0,0,0,0
A-n60-k9,WOA,WOA,none,3,True,True,3,2429.0,2429.0,2443.6666666666665,15.567059238447436,80.47759724273756,79.3943870014771,0.7880655666666598,0.64084176666672,0.1685457999997292,0.0,0.1520524333334663,0.08039403333422494,0.12493106666668534,72009.0,9.0,0,0,0,0
A-n60-k9,SSA,SSA,none,3,True,True,3,2644.0,2644.0,2775.0,116.27983488120371,104.94830132939438,95.27326440177252,0.9090135666666678,0.7961408333336806,0.2816103333326036,0.0,0.264486233333353,0.1224056000002065,0.09028169999991557,72009.0,9.0,0,0,0,0
A-n80-k10,M-WOA,WOA,2opt_qualitybalanced_relocate,3,True,True,3,2037.0,2037.0,2051.6666666666665,20.42873792805948,16.37360559652108,15.541690300623937,9.421919533333343,9.348364533332889,8.91913163333525,3.813803866668555,0.3073979333368584,0.11295483333344691,0.05603403333320026,8211344.666666667,10.0,0,0,0,0
A-n80-k10,M-SSA,SSA,2opt_qualitybalanced_relocate,3,True,True,3,2111.0,2111.0,2210.3333333333335,86.07748447377705,25.37341652486292,19.73908111174135,14.327105066666661,14.262923966666108,13.78858423333592,5.184872233333749,0.3975836999991884,0.1425464333333745,0.045234566666446575,11238767.0,10.0,0,0,0,0
A-n80-k10,WOA,WOA,none,3,True,True,3,3310.0,3310.0,3381.6666666666665,110.56370712550004,91.81319720173946,87.74815655133295,0.5129278666666627,0.4546239000015551,0.1666389666661606,0.0,0.1556767666670377,0.04687446666567515,0.047445699999911994,80010.0,10.0,0,0,0,0
A-n80-k10,SSA,SSA,none,3,True,True,3,3521.0,3521.0,3723.0,253.16397848035174,111.17413499716393,99.71639251276234,0.7180322333333417,0.667552499999753,0.32783956666404873,0.0,0.31623996666513676,0.0908952333330717,0.03882146666681289,80010.0,10.0,0,0,0,0
B-n50-k7,M-SSA,SSA,2opt_qualitybalanced_relocate,3,True,True,3,741.0,741.0,746.3333333333334,5.507570547286115,0.7197480881691408,0.0,11.719491966666643,11.665861966667478,11.359203100001215,2.1476208666671632,0.04033120000106768,0.07137286666945404,0.038145033333667776,5312394.333333333,7.0,0,0,0,0
B-n50-k7,M-WOA,WOA,2opt_qualitybalanced_relocate,3,True,True,3,744.0,744.0,830.3333333333334,74.80864477674577,12.055780476833107,0.4048582995951417,8.378517366666662,8.309519766667885,8.013595199999807,2.0928228000008176,0.042088033333660256,0.06597559999858049,0.05450540000011491,4723096.333333333,7.0,0,0,0,0
B-n50-k7,WOA,WOA,none,3,True,True,3,1566.0,1566.0,1695.6666666666667,128.0325479451742,128.83490778227622,111.33603238866397,0.26803763333333563,0.21460986666733106,0.02603930000124895,0.0,0.017807466667306926,0.02551376666900751,0.04507143333315374,56007.0,7.0,0,0,0,0
B-n50-k7,SSA,SSA,none,3,True,True,3,1815.0,1815.0,1906.0,86.02906485601247,157.2199730094467,144.93927125506073,0.27759389999998046,0.23729583333221171,0.02833986666500247,0.0,0.01973383333330503,0.044590233333546316,0.031556033332871415,56007.0,7.0,0,0,0,0
P-n76-k4,M-WOA,WOA,2opt_qualitybalanced_relocate,3,True,True,3,625.0,625.0,652.6666666666666,30.270998221620214,10.061832490163013,5.39629005059022,17.22279713333334,17.152050500000087,16.779244266668513,10.450398133330737,0.13149786666381638,0.05228823333069007,0.05340800000012299,24480338.333333332,4.0,0,0,0,0
P-n76-k4,M-SSA,SSA,2opt_qualitybalanced_relocate,3,True,True,3,638.0,638.0,650.3333333333334,12.013880860626733,9.668353007307475,7.588532883642496,28.230712966666697,28.163728633337673,27.702298899998937,19.100187833333564,0.19732629999505966,0.09352180000403602,0.045917000000523935,43930674.666666664,4.0,0,0,0,0
P-n76-k4,SSA,SSA,none,3,True,True,3,1707.0,1707.0,1780.6666666666667,63.89313995518875,200.28105677346824,187.858347386172,0.4716132999999824,0.4254968999991699,0.13935996666608239,0.0,0.1321332666671727,0.05786463333191705,0.0363148000003927,32004.0,4.0,0,0,0,0
P-n76-k4,WOA,WOA,none,3,True,True,3,1803.0,1803.0,1804.6666666666667,2.886751345948145,204.32827431141092,204.04721753794266,0.8315216999999961,0.774748133333882,0.5285694333332837,0.0,0.5211024666682723,0.016075733333631586,0.04674213333337699,32004.0,4.0,0,0,0,0
